"id_droit","id_agent","date_modification","is_approbateur","is_operateur","id_agent_delegataire","id_droit_approbateur","version"
"1045","9003466","2015-03-13T14:08:32.386","true","false","NULL","NULL","0"
"1046","9005637","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1047","9004025","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1048","9004355","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1049","9004416","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1050","9004881","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1051","9002902","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1052","9005425","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1053","9003510","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1055","9002778","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1056","9002903","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1057","9003363","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1058","9002940","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1059","9003327","2015-03-13T14:08:32.387","true","false","NULL","NULL","0"
"1063","9004682","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1064","9003566","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1065","9003519","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1066","9005136","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1067","9002981","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1069","9003070","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1070","9002728","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1072","9003686","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1074","9003825","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1075","9005248","2015-03-13T14:08:32.388","true","false","NULL","NULL","0"
"1076","9004545","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1077","9004521","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1078","9005033","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1079","9005626","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1080","9003151","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1082","9005124","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1083","9004407","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1087","9005090","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1088","9005499","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1089","9003876","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1090","9003359","2015-03-13T14:08:32.389","true","false","NULL","NULL","0"
"1091","9003318","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1092","9003160","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1093","9003216","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1094","9003823","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1095","9003770","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1097","9005614","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1098","9003529","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1099","9005280","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1100","9005607","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1101","9004446","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1102","9003191","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1103","9004132","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1104","9004278","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1105","9004721","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1106","9005120","2015-03-13T14:08:32.390","true","false","NULL","NULL","0"
"1107","9005150","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1108","9005539","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1109","9004398","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1110","9005511","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1111","9003807","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1113","9004401","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1114","9005519","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1115","9003067","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1117","9004934","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1118","9003863","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1119","9003810","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1120","9005414","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1121","9005089","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1122","9002997","2015-03-13T14:08:32.391","true","false","NULL","NULL","0"
"1124","9003925","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
"1125","9005604","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
"1126","9003684","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
"1128","9003620","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
"1129","9003767","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
"1130","9003256","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
"1131","9004895","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
"1132","9003556","2015-03-13T14:08:32.392","true","false","NULL","NULL","0"
