"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"69","9003375","9003742","2015-07-02T09:41:17.168","SHC","NULL","2","4","2015-07-02T09:43:43.057","OK","0"
"70","9004378","9003742","2015-07-02T09:41:17.171","SHC","NULL","2","4","2015-07-02T09:43:46.049","OK","0"
"71","9005316","9003742","2015-07-02T09:41:17.173","SHC","NULL","2","4","2015-07-02T09:43:47.809","OK","0"
"73","9005313","9003742","2015-07-02T09:41:17.190","SHC","NULL","2","4","2015-07-02T09:43:49.980","OK","0"
"74","9003381","9003742","2015-07-02T09:41:17.193","SHC","NULL","2","4","2015-07-02T09:43:51.728","OK","0"
"75","9004379","9003742","2015-07-02T09:41:17.197","SHC","NULL","2","4","2015-07-02T09:43:52.680","OK","0"
"76","9003385","9003742","2015-07-02T09:41:17.199","SHC","NULL","2","4","2015-07-02T09:43:54.027","OK","0"
"78","9003719","9003742","2015-07-02T09:41:17.207","SHC","NULL","2","4","2015-07-02T09:43:56.005","OK","0"
"79","9005042","9003742","2015-07-02T09:41:17.222","SHC","NULL","2","4","2015-07-02T09:43:57.920","OK","0"
"80","9003792","9003742","2015-07-02T09:41:17.225","SHC","NULL","2","4","2015-07-02T09:43:59.730","OK","0"
"81","9005311","9003742","2015-07-02T09:41:17.227","SHC","NULL","2","4","2015-07-02T09:44:01.550","OK","0"
"83","9005044","9003742","2015-07-02T09:41:17.231","SHC","NULL","2","4","2015-07-02T09:44:03.740","OK","0"
"84","9004229","9003742","2015-07-02T09:41:17.233","SHC","NULL","2","4","2015-07-02T09:44:06.070","OK","0"
"85","9004685","9003742","2015-07-02T09:41:17.237","SHC","NULL","2","4","2015-07-02T09:44:06.822","OK","0"
"87","9003388","9003742","2015-07-02T09:41:17.247","SHC","NULL","2","4","2015-07-02T09:44:10.868","OK","0"
"88","9005310","9003742","2015-07-02T09:41:17.249","SHC","NULL","2","4","2015-07-02T09:44:12.513","OK","0"
"89","9003973","9003742","2015-07-02T09:41:17.251","SHC","NULL","2","4","2015-07-02T09:44:13.238","OK","0"
"90","9003400","9003742","2015-07-02T09:41:17.256","SHC","NULL","2","4","2015-07-02T09:44:15.508","OK","0"
"92","9003376","9003742","2015-07-02T09:41:17.260","SHC","NULL","2","4","2015-07-02T09:44:18.249","OK","0"
"93","9003374","9003742","2015-07-02T09:41:17.263","SHC","NULL","2","4","2015-07-02T09:44:19.336","OK","0"
"94","9003253","9003742","2015-07-02T09:41:17.274","SHC","NULL","2","4","2015-07-02T09:44:20.484","OK","0"
"96","9002939","9003742","2015-07-02T09:41:17.281","SHC","NULL","2","4","2015-07-02T09:44:23.074","OK","0"
"97","9003525","9003742","2015-07-02T09:41:17.289","SHC","NULL","2","4","2015-07-02T09:44:25.198","OK","0"
"98","9003796","9003742","2015-07-02T09:41:17.292","SHC","NULL","2","4","2015-07-02T09:44:26.731","OK","0"
"99","9003382","9003742","2015-07-02T09:41:17.294","SHC","NULL","2","4","2015-07-02T09:44:29.248","OK","0"
"101","9004799","9003742","2015-07-02T09:41:17.307","SHC","NULL","2","4","2015-07-02T09:44:33.692","OK","0"
"102","9003391","9003742","2015-07-02T09:41:17.310","SHC","NULL","2","4","2015-07-02T09:44:37.258","OK","0"
"103","9004147","9003742","2015-07-02T09:41:17.312","SHC","NULL","2","4","2015-07-02T09:44:38.445","OK","0"
"104","9003319","9003742","2015-07-02T09:41:17.315","SHC","NULL","2","4","2015-07-02T09:44:39.053","OK","0"
"106","9004686","9003742","2015-07-02T09:41:17.323","SHC","NULL","2","4","2015-07-02T09:44:41.757","OK","0"
"107","9003255","9003742","2015-07-02T09:41:17.327","SHC","NULL","2","4","2015-07-02T09:44:43.575","OK","0"
"1","9005307","9003742","2015-07-02T09:41:16.649","SHC","NULL","2","4","2015-07-02T09:42:01.197","OK","0"
"3","9003785","9003742","2015-07-02T09:41:16.690","SHC","NULL","2","4","2015-07-02T09:42:04.232","OK","0"
"8","9004981","9003742","2015-07-02T09:41:16.726","SHC","NULL","2","4","2015-07-02T09:42:11.807","OK","0"
"13","9003674","9003742","2015-07-02T09:41:16.768","SHC","NULL","2","4","2015-07-02T09:42:19.578","OK","0"
"17","9002963","9003742","2015-07-02T09:41:16.797","SHC","NULL","2","4","2015-07-02T09:42:24.117","OK","0"
"22","9004737","9003742","2015-07-02T09:41:16.854","SHC","NULL","2","4","2015-07-02T09:42:30.649","OK","0"
"26","9004801","9003742","2015-07-02T09:41:16.894","SHC","NULL","2","4","2015-07-02T09:42:37.303","OK","0"
"31","9003372","9003742","2015-07-02T09:41:16.924","SHC","NULL","2","4","2015-07-02T09:42:44.707","OK","0"
"36","9004984","9003742","2015-07-02T09:41:16.953","SHC","NULL","2","4","2015-07-02T09:42:52.420","OK","0"
"40","9003793","9003742","2015-07-02T09:41:17.021","SHC","NULL","2","4","2015-07-02T09:42:57.749","OK","0"
"45","9005312","9003742","2015-07-02T09:41:17.056","SHC","NULL","2","4","2015-07-02T09:43:04.897","OK","0"
"49","9005309","9003742","2015-07-02T09:41:17.083","SHC","NULL","2","4","2015-07-02T09:43:10.204","OK","0"
"54","9003507","9003742","2015-07-02T09:41:17.105","SHC","NULL","2","4","2015-07-02T09:43:20.462","OK","0"
"59","9003970","9003742","2015-07-02T09:41:17.119","SHC","NULL","2","4","2015-07-02T09:43:26.078","OK","0"
"63","9004553","9003742","2015-07-02T09:41:17.134","SHC","NULL","2","4","2015-07-02T09:43:34.421","OK","0"
"68","9003514","9003742","2015-07-02T09:41:17.166","SHC","NULL","2","4","2015-07-02T09:43:40.735","OK","0"
"72","9003778","9003742","2015-07-02T09:41:17.178","SHC","NULL","2","4","2015-07-02T09:43:48.984","OK","0"
