"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"4422","9005545","DFCB","SVQ Section Administrative et Comptable","2015-03-13T14:09:03.508","2","NULL"
"4423","9005007","DFCB","SVQ Section Administrative et Comptable","2015-03-13T14:09:03.508","2","NULL"
"4424","9003224","DFCB","SVQ Section Administrative et Comptable","2015-03-13T14:09:03.508","2","NULL"
"4425","9002987","DFCB","SVQ Section Administrative et Comptable","2015-03-13T14:09:03.508","2","NULL"
"4426","9004729","DFCB","SVQ Section Administrative et Comptable","2015-03-13T14:09:03.508","2","NULL"
"3967","9004545","DDBB","DRH SEFP Section Prévention Santé au Travail","2015-03-13T14:09:03.494","5","NULL"
"3970","9004521","DDBC","DRH SEFP Section Emploi et Formation","2015-03-13T14:09:03.495","5","NULL"
"4442","9005247","DFCJ","SVQ Pôle Vie de la Cité - MMQ","2015-03-13T14:09:03.508","2","NULL"
"4443","9004211","DFCJ","SVQ Pôle Vie de la Cité - MMQ","2015-03-13T14:09:03.508","2","NULL"
"5498","9002873","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:17:03.168","2","NULL"
"5501","9003917","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:17:36.211","2","NULL"
"5503","9004272","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:17:54.755","2","NULL"
"5505","9004442","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:18:12.695","2","NULL"
"5507","9004443","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:18:50.466","2","NULL"
"5509","9004592","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:19:57.563","2","NULL"
"5512","9005238","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:21:03.817","2","NULL"
"5514","9005404","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:22:01.017","2","NULL"
"5518","9003211","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:24:14.915","2","NULL"
"5522","9003540","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:26:07.451","2","NULL"
"5524","9003919","DHAA","Direction des Services d'Incendie et de Secours","2015-06-23T07:27:39.442","2","NULL"
"5382","9005649","EBEB","DETVEA Subdivision Etudes Voirie","2015-06-12T08:18:21.823","5","NULL"
