"id_droit","id_agent","date_modification","is_approbateur","is_operateur","id_agent_delegataire","id_droit_approbateur","version"
"1614","9003495","2015-06-24T10:32:16.407","true","false","NULL","NULL","0"
"1615","9004421","2015-06-24T10:33:02.862","false","true","NULL","1614","0"
"1062","9003340","2015-03-13T14:08:32.388","true","false","NULL","NULL","2"
"1270","9002987","2015-03-13T14:09:46.410","false","true","NULL","1105","0"
"1768","9004612","2015-08-17T08:39:18.373","false","true","NULL","1763","0"
"1272","9005360","2015-03-13T14:09:46.410","false","true","NULL","1141","0"
"1273","9004877","2015-03-13T14:09:46.410","false","true","NULL","1141","0"
"1105","9004721","2015-03-13T14:08:32.390","true","false","9005614","NULL","1"
"1750","9005680","2015-08-12T13:44:22.716","false","true","NULL","1067","0"
"1780","9005179","2015-09-01T15:37:54.676","false","true","NULL","1779","0"
"1277","9003631","2015-03-13T14:09:46.411","false","true","NULL","1127","0"
"1278","9005179","2015-03-13T14:09:46.411","false","true","NULL","1127","0"
"1279","9004120","2015-03-13T14:09:46.411","false","true","NULL","1127","0"
"1280","9005085","2015-03-13T14:09:46.411","false","true","NULL","1127","0"
"1282","9002987","2015-03-13T14:09:46.411","false","true","NULL","1101","0"
"1283","9003495","2015-03-13T14:09:46.411","false","true","NULL","1049","0"
"1781","9005619","2015-09-01T15:38:02.644","false","true","NULL","1779","0"
"1286","9005029","2015-03-13T14:09:46.412","false","true","NULL","1113","0"
"1287","9005453","2015-03-13T14:09:46.412","false","true","NULL","1113","0"
"1289","9003762","2015-03-13T14:09:46.412","false","true","NULL","1048","0"
"1290","9002726","2015-03-13T14:09:46.412","false","true","NULL","1048","0"
"1291","9005360","2015-03-13T14:09:46.413","false","true","NULL","1149","0"
"1292","9004877","2015-03-13T14:09:46.413","false","true","NULL","1149","0"
"1293","9002987","2015-03-13T14:09:46.413","false","true","NULL","1104","0"
"1294","9002987","2015-03-13T14:09:46.413","false","true","NULL","1103","0"
"1618","9005028","2015-06-24T13:50:56.013","false","true","NULL","1066","0"
"1297","9005360","2015-03-13T14:09:46.413","false","true","NULL","1136","0"
"1619","9003281","2015-06-24T13:51:09.763","false","true","NULL","1066","0"
"1621","9003891","2015-06-24T14:11:09.917","false","true","NULL","1620","0"
"1622","9003891","2015-06-24T14:12:28.843","false","true","NULL","1094","0"
"1623","9004612","2015-06-24T16:25:01.165","false","true","NULL","1143","0"
"1303","9004385","2015-03-13T14:09:46.414","false","true","NULL","1158","0"
"1624","9004662","2015-06-24T16:25:17.947","false","true","NULL","1143","0"
"1783","9005179","2015-09-01T16:05:58.158","true","false","NULL","NULL","0"
"1625","9005324","2015-06-24T16:25:42.493","false","true","NULL","1143","0"
"1633","9004612","2015-06-25T08:34:05.423","false","true","NULL","1144","0"
"1308","9003282","2015-03-13T14:09:46.415","false","true","NULL","1160","0"
"1309","9004385","2015-03-13T14:09:46.415","false","true","NULL","1160","0"
"1310","9005418","2015-03-13T14:09:46.415","false","true","NULL","1160","0"
"1634","9005324","2015-06-25T08:34:12.674","false","true","NULL","1144","0"
"1635","9004877","2015-06-25T08:34:20.698","false","true","NULL","1144","0"
