"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence","is_hsup_rappel_service","id_motif_hsup"
"6463","9004151","3","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","480","NULL","25","NULL","NULL","NULL","0","NULL","NULL","NULL"
"6464","9004151","3","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","420","NULL","25","NULL","NULL","NULL","0","NULL","NULL","NULL"
"12394","9005096","3","2015-08-17T00:00:00.000","2015-08-19T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"6473","9004159","3","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6481","9004163","3","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6480","9004163","3","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6445","9003124","3","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6444","9003124","3","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6443","9003124","3","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6397","9002670","3","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6396","9002670","3","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6395","9002670","3","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6394","9002670","3","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6393","9002670","3","2015-07-20T00:00:00.000","2015-07-20T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
