"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"69","9005495","9003069","2014-08-05T14:18:58.390","SHC","NULL","1","4","2014-08-05T14:20:06.722","OK","0"
"70","9004522","9003069","2014-08-05T14:18:58.399","SHC","NULL","1","4","2014-08-05T14:20:08.107","OK","0"
"71","9005412","9003069","2014-08-05T14:18:58.410","SHC","NULL","1","4","2014-08-05T14:20:08.773","OK","0"
"72","9004473","9003069","2014-08-05T14:18:58.417","SHC","NULL","1","4","2014-08-05T14:20:09.668","OK","0"
"73","9005446","9003069","2014-08-05T14:18:58.421","SHC","NULL","1","4","2014-08-05T14:20:10.541","OK","0"
"89","9004444","9003069","2014-08-05T14:49:04.358","SCV","NULL","2","3","2014-08-05T14:50:00.595","OK","0"
"90","9004559","9003069","2014-08-05T14:49:04.367","SCV","NULL","2","3","2014-08-05T14:50:00.960","OK","0"
"91","9004430","9003069","2014-08-05T14:49:04.392","SCV","NULL","2","3","2014-08-05T14:50:01.697","OK","0"
"92","9002339","9003069","2014-08-05T14:49:04.409","SCV","NULL","2","3","2014-08-05T14:50:02.205","OK","0"
"93","9003401","9003069","2014-08-05T14:49:04.412","SCV","NULL","2","3","2014-08-05T14:50:02.546","OK","0"
"94","9003578","9003069","2014-08-05T14:49:04.417","SCV","NULL","2","3","2014-08-05T14:50:03.256","OK","0"
"95","9002229","9003069","2014-08-05T14:49:04.421","SCV","NULL","2","3","2014-08-05T14:50:04.620","OK","0"
"96","9004280","9003069","2014-08-05T14:49:04.423","SCV","NULL","2","3","2014-08-05T14:50:05.079","OK","0"
"97","9004634","9003069","2014-08-05T14:49:04.430","SCV","NULL","2","3","2014-08-05T14:50:05.482","OK","0"
"98","9003304","9003069","2014-08-05T14:49:04.437","SCV","NULL","2","3","2014-08-05T14:50:05.790","OK","0"
"99","9004173","9003069","2014-08-05T14:49:04.440","SCV","NULL","2","3","2014-08-05T14:50:07.391","OK","0"
