"id_pointage_calcule","id_agent","date_lundi","date_debut","date_fin","quantite","id_ref_type_pointage","id_ref_prime","etat","id_ventil_date","version"
"46","9002940","2014-06-09T00:00:00.000","2014-06-14T00:00:00.000","NULL","0","3","1","4","4","1"
"47","9002940","2014-06-09T00:00:00.000","2014-06-13T00:00:00.000","NULL","0","3","1","4","4","1"
"48","9002940","2014-06-09T00:00:00.000","2014-06-12T00:00:00.000","NULL","0","3","1","4","4","1"
"49","9002940","2014-06-09T00:00:00.000","2014-06-11T00:00:00.000","NULL","0","3","1","4","4","1"
"50","9002940","2014-06-09T00:00:00.000","2014-06-10T00:00:00.000","NULL","480","3","1","4","4","1"
"51","9002940","2014-06-09T00:00:00.000","2014-06-09T00:00:00.000","NULL","480","3","1","4","4","1"
"52","9002940","2014-06-09T00:00:00.000","2014-06-09T00:00:00.000","NULL","480","3","4","4","4","1"
"53","9002940","2014-06-09T00:00:00.000","2014-06-12T00:00:00.000","NULL","1","3","6","4","4","1"
"54","9002940","2014-06-09T00:00:00.000","2014-06-11T00:00:00.000","NULL","1","3","6","4","4","1"
