"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version"
"4572","9004011","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4573","9004237","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4574","9004160","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4575","9004249","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4576","9004962","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4577","9004578","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4578","9005143","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4579","9002996","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4580","9003884","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4581","9004640","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4582","9004260","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4583","9004577","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4584","9005121","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4585","9003049","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4586","9004291","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4587","9004518","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4588","9004134","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4589","9004235","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4590","9004504","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4591","9004403","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4592","9004178","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4593","9003200","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
"4594","9002260","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","0"
