"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version"
"4853","9003457","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4854","9004363","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4855","9003874","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4856","9003279","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4857","9003812","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4858","9004523","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4859","9003229","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4860","9004959","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4861","9003042","ECBA","DECV Atelier Technique Municipal","2015-03-13T14:09:03.520","0"
"4862","9005401","ECBB","ATM Section Administrative et Comptable","2015-03-13T14:09:03.520","0"
"4863","9003480","ECBB","ATM Section Administrative et Comptable","2015-03-13T14:09:03.520","0"
"4864","9003232","ECBB","ATM Section Administrative et Comptable","2015-03-13T14:09:03.520","0"
"4865","9004459","ECBB","ATM Section Administrative et Comptable","2015-03-13T14:09:03.520","0"
"4866","9005010","ECBB","ATM Section Administrative et Comptable","2015-03-13T14:09:03.520","0"
