"id_pointage_calcule","id_agent","date_lundi","date_debut","date_fin","quantite","id_ref_type_pointage","id_ref_prime","etat","id_ventil_date","version"
"10409","9003981","2015-08-10T00:00:00.000","2015-08-11T00:00:00.000","NULL","1","3","6","9","8","3"
"10410","9003981","2015-08-10T00:00:00.000","2015-08-10T00:00:00.000","NULL","1","3","6","9","8","3"
"7238","9003981","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","480","3","1","9","8","6"
"7230","9003981","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","1","3","6","9","8","6"
"7229","9003981","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","480","3","1","9","8","6"
"7234","9003981","2015-07-06T00:00:00.000","2015-07-12T00:00:00.000","NULL","480","3","4","9","8","6"
"7232","9003981","2015-07-06T00:00:00.000","2015-07-12T00:00:00.000","NULL","480","3","1","9","8","6"
"7235","9003981","2015-07-06T00:00:00.000","2015-07-11T00:00:00.000","NULL","1","3","6","9","8","6"
"7231","9003981","2015-07-06T00:00:00.000","2015-07-11T00:00:00.000","NULL","480","3","1","9","8","6"
"11489","9003792","2015-08-24T00:00:00.000","2015-08-27T00:00:00.000","NULL","240","3","1","9","10","3"
"14125","9005310","2015-10-12T00:00:00.000","2015-10-16T00:00:00.000","NULL","1","3","6","9","14","6"
"14115","9005310","2015-09-28T00:00:00.000","2015-10-03T00:00:00.000","NULL","360","3","1","9","14","6"
"14124","9005310","2015-10-12T00:00:00.000","2015-10-17T00:00:00.000","NULL","1","3","6","9","14","6"
"7269","9004553","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","240","3","1","9","8","8"
"7264","9004553","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","1","3","6","9","8","8"
"7901","9004799","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","480","3","1","9","8","6"
"7786","9004553","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","240","3","1","9","8","6"
"7265","9004553","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","240","3","1","9","8","8"
"7268","9004553","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","1","3","6","9","8","8"
"7263","9004553","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","1","3","6","9","8","8"
"7785","9004553","2015-06-29T00:00:00.000","2015-07-04T00:00:00.000","NULL","240","3","1","9","8","6"
"7262","9004553","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","240","3","1","9","8","8"
"7787","9004553","2015-06-29T00:00:00.000","2015-07-04T00:00:00.000","NULL","1","3","6","9","8","6"
"7788","9004553","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","1","3","6","9","8","6"
"7267","9004553","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","1","3","6","9","8","8"
"7266","9004553","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","240","3","1","9","8","8"
"7261","9004553","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","240","3","1","9","8","8"
"14127","9005310","2015-10-19T00:00:00.000","2015-10-23T00:00:00.000","NULL","480","3","1","9","14","6"
"14119","9005310","2015-10-05T00:00:00.000","2015-10-07T00:00:00.000","NULL","1","3","6","9","14","6"
"10484","9004378","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","255","3","1","9","8","3"
"10486","9004378","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","1","3","6","9","8","3"
"10487","9004378","2015-07-27T00:00:00.000","2015-07-30T00:00:00.000","NULL","240","3","1","9","8","3"
"10488","9004378","2015-07-27T00:00:00.000","2015-07-30T00:00:00.000","NULL","1","3","6","9","8","3"
"10489","9004378","2015-07-27T00:00:00.000","2015-07-28T00:00:00.000","NULL","1","3","6","9","8","3"
"7895","9004980","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","480","3","1","9","8","6"
"10490","9004378","2015-08-17T00:00:00.000","2015-08-21T00:00:00.000","NULL","240","3","1","9","8","3"
"10491","9004378","2015-08-17T00:00:00.000","2015-08-20T00:00:00.000","NULL","240","3","1","9","8","3"
"13782","9002903","2015-09-28T00:00:00.000","2015-09-30T00:00:00.000","NULL","1","3","6","9","12","3"
"12111","9002903","2015-09-07T00:00:00.000","2015-09-09T00:00:00.000","NULL","1","3","6","9","12","6"
"12110","9002903","2015-08-31T00:00:00.000","2015-09-02T00:00:00.000","NULL","1","3","6","9","12","6"
"12112","9002903","2015-09-14T00:00:00.000","2015-09-16T00:00:00.000","NULL","1","3","6","9","12","6"
"6773","9005311","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","1","3","6","9","8","6"
"6772","9005311","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","1","3","6","9","8","6"
"10492","9004378","2015-08-17T00:00:00.000","2015-08-21T00:00:00.000","NULL","1","3","6","9","8","3"
"10493","9004378","2015-08-17T00:00:00.000","2015-08-20T00:00:00.000","NULL","1","3","6","9","8","3"
"10586","9004226","2015-08-03T00:00:00.000","2015-08-03T00:00:00.000","NULL","480","3","1","9","8","3"
"10587","9004226","2015-08-10T00:00:00.000","2015-08-13T00:00:00.000","NULL","480","3","1","9","8","3"
"10588","9004226","2015-08-10T00:00:00.000","2015-08-16T00:00:00.000","NULL","480","3","4","9","8","3"
"10589","9004226","2015-08-10T00:00:00.000","2015-08-16T00:00:00.000","NULL","1","3","6","9","8","3"
"6926","9004980","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","3","1","9","8","8"
"7908","9004147","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","1","3","6","9","8","6"
"6771","9005311","2015-06-29T00:00:00.000","2015-07-04T00:00:00.000","NULL","480","3","1","9","8","6"
"7906","9004147","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","480","3","1","9","8","6"
"10590","9004226","2015-08-10T00:00:00.000","2015-08-12T00:00:00.000","NULL","1","3","6","9","8","3"
"12113","9002903","2015-09-21T00:00:00.000","2015-09-23T00:00:00.000","NULL","1","3","6","9","12","6"
"13783","9002903","2015-10-05T00:00:00.000","2015-10-09T00:00:00.000","NULL","1","3","6","9","12","3"
"6871","9002939","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","1","3","6","9","8","6"
"6770","9005311","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","480","3","1","9","8","6"
