"id_rc_histo","id_agent","date_lundi","m_sup","m_base_horaire","version"
"107","9004318","2015-07-06T00:00:00.000","480","2340","0"
"108","9004318","2015-07-13T00:00:00.000","630","2340","0"
"109","9004447","2015-07-06T00:00:00.000","510","2340","0"
"110","9004447","2015-07-13T00:00:00.000","420","2340","0"
"111","9004786","2015-07-06T00:00:00.000","540","2340","0"
"112","9002246","2015-07-13T00:00:00.000","660","2340","0"
"113","9002416","2015-07-13T00:00:00.000","660","2340","0"
"114","9002418","2015-07-13T00:00:00.000","720","2340","0"
"115","9002418","2015-07-20T00:00:00.000","480","2340","0"
"116","9002528","2015-07-13T00:00:00.000","660","2340","0"
"117","9003339","2015-07-13T00:00:00.000","1200","2340","0"
"118","9003417","2015-07-13T00:00:00.000","525","2340","0"
"119","9003417","2015-07-20T00:00:00.000","525","2340","0"
"120","9003573","2015-07-13T00:00:00.000","525","2340","0"
"121","9004144","2015-07-13T00:00:00.000","960","2340","0"
"122","9004144","2015-07-27T00:00:00.000","180","2340","0"
"123","9004474","2015-07-13T00:00:00.000","1200","2340","0"
"124","9004474","2015-07-27T00:00:00.000","300","2340","0"
"125","9004684","2015-07-13T00:00:00.000","420","2340","0"
"126","9003088","2015-07-20T00:00:00.000","300","2340","0"
"127","9002607","2015-07-27T00:00:00.000","165","2340","0"
"128","9002607","2015-08-03T00:00:00.000","195","2340","0"
"129","9004241","2015-07-27T00:00:00.000","540","2340","0"
"130","9004582","2015-06-01T00:00:00.000","810","2340","0"
"36","9003953","2015-06-29T00:00:00.000","420","2340","1"
"131","9003953","2015-07-06T00:00:00.000","240","2340","0"
"40","9004744","2015-06-29T00:00:00.000","420","2340","1"
"132","9004744","2015-07-06T00:00:00.000","480","2340","0"
"133","9003712","2015-07-06T00:00:00.000","150","2340","0"
"134","9003712","2015-07-13T00:00:00.000","240","2340","0"
"180","9004241","2015-07-20T00:00:00.000","240","2340","0"
"185","9004472","2015-08-10T00:00:00.000","75","2340","0"
"135","9003712","2015-07-20T00:00:00.000","210","2340","0"
"136","9005180","2015-07-06T00:00:00.000","60","2340","0"
"137","9005180","2015-07-13T00:00:00.000","120","2340","0"
"138","9005180","2015-07-20T00:00:00.000","90","2340","0"
"139","9005180","2015-07-27T00:00:00.000","150","2340","0"
"140","9005716","2015-07-06T00:00:00.000","240","2340","0"
"141","9005716","2015-07-13T00:00:00.000","540","2340","0"
"142","9005716","2015-07-27T00:00:00.000","240","2340","0"
"143","9005716","2015-08-17T00:00:00.000","780","2340","0"
"144","9003410","2015-07-20T00:00:00.000","180","2340","0"
"145","9004645","2015-07-20T00:00:00.000","120","2340","0"
"146","9004645","2015-07-27T00:00:00.000","300","2340","0"
"147","9004645","2015-08-17T00:00:00.000","900","2340","0"
"148","9004491","2015-07-27T00:00:00.000","300","2340","0"
"149","9004491","2015-08-17T00:00:00.000","900","2340","0"
"150","9005321","2015-07-27T00:00:00.000","60","2340","0"
"151","9005624","2015-07-27T00:00:00.000","330","2340","0"
"152","9003305","2015-08-03T00:00:00.000","90","2340","0"
"153","9004365","2015-08-03T00:00:00.000","180","2340","0"
"154","9004365","2015-08-17T00:00:00.000","30","2340","0"
"155","9004522","2015-08-03T00:00:00.000","105","2340","0"
"156","9004842","2015-08-03T00:00:00.000","90","2340","0"
"157","9004878","2015-08-03T00:00:00.000","180","2340","0"
"158","9004878","2015-08-10T00:00:00.000","270","2340","0"
"159","9004878","2015-08-17T00:00:00.000","180","2340","0"
"160","9003578","2015-08-10T00:00:00.000","75","2340","0"
"161","9003861","2015-08-10T00:00:00.000","180","2340","0"
"162","9004540","2015-08-10T00:00:00.000","75","2340","0"
"163","9004548","2015-08-10T00:00:00.000","180","2340","0"
"164","9004728","2015-08-10T00:00:00.000","180","2340","0"
"165","9005170","2015-08-10T00:00:00.000","90","2340","0"
"166","9005170","2015-08-17T00:00:00.000","180","2340","0"
"167","9005475","2015-08-10T00:00:00.000","390","2340","0"
"168","9005475","2015-08-17T00:00:00.000","210","2340","0"
"169","9003869","2015-08-17T00:00:00.000","900","2340","0"
"170","9004134","2015-08-17T00:00:00.000","840","2340","0"
"171","9004142","2015-08-17T00:00:00.000","60","2340","0"
"172","9004142","2015-08-24T00:00:00.000","180","2340","0"
"173","9004178","2015-08-17T00:00:00.000","840","2340","0"
"174","9004320","2015-08-17T00:00:00.000","60","2340","0"
"175","9004320","2015-08-24T00:00:00.000","180","2340","0"
"176","9004518","2015-08-17T00:00:00.000","600","2340","0"
"177","9004962","2015-08-17T00:00:00.000","300","2340","0"
"178","9004630","2015-08-24T00:00:00.000","180","2340","0"
"179","9005195","2015-08-24T00:00:00.000","180","2340","0"
"181","9002229","2015-07-27T00:00:00.000","120","2340","0"
"182","9002229","2015-08-03T00:00:00.000","300","2340","0"
"183","9002229","2015-08-24T00:00:00.000","210","2340","0"
"184","9002229","2015-08-31T00:00:00.000","450","2340","0"
"186","9003088","2015-08-17T00:00:00.000","180","2340","0"
"187","9003200","2015-08-17T00:00:00.000","900","2340","0"
"188","9003339","2015-08-17T00:00:00.000","900","2340","0"
"189","9004131","2015-08-17T00:00:00.000","900","2340","0"
"190","9004474","2015-08-17T00:00:00.000","600","2340","0"
"191","9002418","2015-08-24T00:00:00.000","210","2340","0"
"192","9002418","2015-08-31T00:00:00.000","90","2340","0"
"193","9002607","2015-08-24T00:00:00.000","120","2340","0"
"194","9004145","2015-08-24T00:00:00.000","180","2340","0"
"195","9005341","2015-07-13T00:00:00.000","120","2340","0"
"196","9005341","2015-07-20T00:00:00.000","300","2340","0"
"197","9005491","2015-07-20T00:00:00.000","30","2340","0"
"198","9005491","2015-09-21T00:00:00.000","60","2340","0"
"199","9005536","2015-07-20T00:00:00.000","330","2340","0"
"200","9003712","2015-07-27T00:00:00.000","420","2340","0"
"201","9003712","2015-08-03T00:00:00.000","90","2340","0"
"509","9002229","2015-10-26T00:00:00.000","570","2340","0"
"510","9002229","2015-11-02T00:00:00.000","390","2340","0"
"204","9003681","2015-08-17T00:00:00.000","165","2340","0"
"205","9003681","2015-08-24T00:00:00.000","570","2340","0"
"206","9005675","2015-08-17T00:00:00.000","90","2340","0"
"207","9003953","2015-08-24T00:00:00.000","600","2340","0"
"208","9004365","2015-08-31T00:00:00.000","270","2340","0"
"209","9004365","2015-09-07T00:00:00.000","210","2340","0"
"210","9004365","2015-09-14T00:00:00.000","210","2340","0"
"211","9004476","2015-08-31T00:00:00.000","270","2340","0"
"212","9004476","2015-09-07T00:00:00.000","1290","2340","0"
"213","9004476","2015-09-14T00:00:00.000","480","2340","0"
"214","9004476","2015-09-21T00:00:00.000","360","2340","0"
"215","9004645","2015-08-31T00:00:00.000","60","2340","0"
"216","9004645","2015-09-07T00:00:00.000","360","2340","0"
"217","9004645","2015-09-14T00:00:00.000","480","2340","0"
"218","9005013","2015-08-31T00:00:00.000","270","2340","0"
"219","9005013","2015-09-14T00:00:00.000","480","2340","0"
"220","9005013","2015-09-21T00:00:00.000","360","2340","0"
"221","9005170","2015-08-31T00:00:00.000","270","2340","0"
"222","9005170","2015-09-07T00:00:00.000","210","2340","0"
"223","9005170","2015-09-14T00:00:00.000","210","2340","0"
"224","9005499","2015-08-31T00:00:00.000","75","2340","0"
"225","9005624","2015-08-31T00:00:00.000","240","2340","0"
"226","9005653","2015-08-31T00:00:00.000","840","2340","0"
"227","9005716","2015-08-31T00:00:00.000","330","2340","0"
"228","9005716","2015-09-14T00:00:00.000","120","2340","0"
"229","9005729","2015-08-31T00:00:00.000","180","2340","0"
"230","9004187","2015-09-07T00:00:00.000","1290","2340","0"
"231","9004202","2015-09-07T00:00:00.000","1290","2340","0"
"232","9004491","2015-09-07T00:00:00.000","360","2340","0"
"233","9004491","2015-09-14T00:00:00.000","480","2340","0"
"234","9004750","2015-09-07T00:00:00.000","240","2340","0"
"235","9004750","2015-09-14T00:00:00.000","570","2340","0"
"236","9005082","2015-09-07T00:00:00.000","240","2340","0"
"237","9005082","2015-09-14T00:00:00.000","300","2340","0"
"238","9005253","2015-09-07T00:00:00.000","1290","2340","0"
"239","9005253","2015-09-14T00:00:00.000","810","2340","0"
"240","9005420","2015-09-07T00:00:00.000","1290","2340","0"
"241","9005475","2015-09-07T00:00:00.000","540","2340","0"
"242","9005475","2015-09-14T00:00:00.000","345","2340","0"
"243","9005665","2015-09-07T00:00:00.000","1440","2340","0"
"244","9005665","2015-09-14T00:00:00.000","300","2340","0"
"245","9003590","2015-09-14T00:00:00.000","390","2340","0"
"246","9003869","2015-09-14T00:00:00.000","480","2340","0"
"247","9003869","2015-09-21T00:00:00.000","180","2340","0"
"248","9004237","2015-09-14T00:00:00.000","480","2340","0"
"249","9005384","2015-09-14T00:00:00.000","300","2340","0"
"250","9005464","2015-09-14T00:00:00.000","720","2340","0"
"251","9005180","2015-09-28T00:00:00.000","90","2340","0"
"252","9004786","2015-08-03T00:00:00.000","480","2340","0"
"253","9004786","2015-08-10T00:00:00.000","60","2340","0"
"254","9004786","2015-09-07T00:00:00.000","60","2340","0"
"255","9004241","2015-08-24T00:00:00.000","180","2340","0"
"256","9004241","2015-08-31T00:00:00.000","600","2340","0"
"257","9004241","2015-09-07T00:00:00.000","1200","2340","0"
"258","9004241","2015-09-14T00:00:00.000","360","2340","0"
"259","9002416","2015-08-31T00:00:00.000","120","2340","0"
"260","9002416","2015-09-07T00:00:00.000","690","2340","0"
"261","9003200","2015-08-31T00:00:00.000","60","2340","0"
"262","9003200","2015-09-21T00:00:00.000","180","2340","0"
"263","9003200","2015-09-28T00:00:00.000","300","2340","0"
"264","9002229","2015-09-07T00:00:00.000","360","2340","0"
"265","9002229","2015-09-14T00:00:00.000","750","2340","0"
"266","9002607","2015-09-07T00:00:00.000","150","2340","0"
"267","9002607","2015-09-14T00:00:00.000","300","2340","0"
"268","9002607","2015-09-21T00:00:00.000","150","2340","0"
"269","9002607","2015-09-28T00:00:00.000","300","2340","0"
"270","9003339","2015-09-07T00:00:00.000","360","2340","0"
"271","9003339","2015-09-14T00:00:00.000","480","2340","0"
"272","9003339","2015-09-21T00:00:00.000","180","2340","0"
"273","9003339","2015-09-28T00:00:00.000","240","2340","0"
"276","9004131","2015-09-07T00:00:00.000","360","2340","0"
"277","9004131","2015-09-14T00:00:00.000","480","2340","0"
"280","9004144","2015-09-07T00:00:00.000","690","2340","0"
"281","9004144","2015-09-21T00:00:00.000","240","2340","0"
"283","9004318","2015-09-07T00:00:00.000","1140","2340","0"
"284","9004318","2015-09-14T00:00:00.000","120","2340","0"
"287","9004402","2015-09-07T00:00:00.000","1320","2340","0"
"288","9004402","2015-09-14T00:00:00.000","900","2340","0"
"291","9004474","2015-09-07T00:00:00.000","360","2340","0"
"292","9004474","2015-09-14T00:00:00.000","480","2340","0"
"293","9004474","2015-09-28T00:00:00.000","240","2340","0"
"295","9005101","2015-09-07T00:00:00.000","60","2340","0"
"296","9005101","2015-09-14T00:00:00.000","600","2340","0"
"299","9003769","2015-09-14T00:00:00.000","270","2340","0"
"301","9003088","2015-09-28T00:00:00.000","90","2340","0"
"305","9004483","2015-08-03T00:00:00.000","120","2340","0"
"306","9004483","2015-08-24T00:00:00.000","180","2340","0"
"307","9004483","2015-08-31T00:00:00.000","240","2340","0"
"308","9004483","2015-09-07T00:00:00.000","780","2340","0"
"309","9004483","2015-09-14T00:00:00.000","540","2340","0"
"314","9004563","2015-08-10T00:00:00.000","120","2340","0"
"315","9004563","2015-08-17T00:00:00.000","0","2340","0"
"320","9004671","2015-08-24T00:00:00.000","60","2340","0"
"322","9003953","2015-08-31T00:00:00.000","660","2340","0"
"323","9003953","2015-09-07T00:00:00.000","180","2340","0"
"324","9003953","2015-09-14T00:00:00.000","240","2340","0"
"325","9003953","2015-09-21T00:00:00.000","1140","2340","0"
"327","9004728","2015-08-31T00:00:00.000","180","2340","0"
"330","9004542","2015-09-07T00:00:00.000","300","2340","0"
"335","9004744","2015-09-07T00:00:00.000","120","2340","0"
"336","9004744","2015-09-14T00:00:00.000","540","2340","0"
"337","9004744","2015-09-21T00:00:00.000","1140","2340","0"
"341","9003410","2015-09-14T00:00:00.000","180","2340","0"
"343","9004237","2015-09-28T00:00:00.000","240","2340","0"
"347","9004645","2015-09-28T00:00:00.000","300","2340","0"
"348","9004645","2015-10-19T00:00:00.000","390","2340","0"
"351","9005170","2015-09-28T00:00:00.000","180","2340","0"
"352","9005170","2015-10-05T00:00:00.000","240","2340","0"
"353","9005170","2015-10-12T00:00:00.000","300","2340","0"
"354","9005170","2015-10-19T00:00:00.000","480","2340","0"
"356","9003305","2015-10-05T00:00:00.000","255","2340","0"
"358","9004365","2015-10-05T00:00:00.000","240","2340","0"
"360","9005076","2015-10-05T00:00:00.000","30","2340","0"
"361","9005076","2015-10-12T00:00:00.000","300","2340","0"
"363","9005733","2015-10-05T00:00:00.000","240","2340","0"
"367","9004320","2015-10-12T00:00:00.000","60","2340","0"
"370","9005490","2015-10-12T00:00:00.000","480","2340","0"
"371","9005490","2015-10-19T00:00:00.000","480","2340","0"
"373","9004476","2015-10-19T00:00:00.000","360","2340","0"
"376","9005384","2015-10-19T00:00:00.000","60","2340","0"
"377","9005384","2015-10-26T00:00:00.000","60","2340","0"
"379","9004241","2015-09-28T00:00:00.000","240","2340","0"
"380","9004241","2015-10-05T00:00:00.000","120","2340","0"
"381","9004241","2015-10-19T00:00:00.000","240","2340","0"
"382","9004241","2015-10-26T00:00:00.000","480","2340","0"
"384","9002418","2015-10-05T00:00:00.000","120","2340","0"
"385","9002418","2015-10-12T00:00:00.000","480","2340","0"
"386","9002418","2015-10-19T00:00:00.000","120","2340","0"
"388","9003386","2015-10-05T00:00:00.000","90","2340","0"
"389","9003386","2015-10-26T00:00:00.000","600","2340","0"
"391","9003200","2015-10-12T00:00:00.000","360","2340","0"
"392","9003200","2015-10-19T00:00:00.000","390","2340","0"
"393","9003200","2015-10-26T00:00:00.000","60","2340","0"
"397","9004131","2015-10-12T00:00:00.000","360","2340","0"
"398","9004131","2015-10-19T00:00:00.000","390","2340","0"
"399","9004131","2015-10-26T00:00:00.000","180","2340","0"
"403","9004314","2015-10-12T00:00:00.000","60","2340","0"
"404","9004314","2015-10-19T00:00:00.000","90","2340","0"
"405","9004314","2015-10-26T00:00:00.000","420","2340","0"
"406","9004314","2015-11-02T00:00:00.000","360","2340","0"
"409","9004732","2015-10-12T00:00:00.000","60","2340","0"
"410","9004732","2015-10-19T00:00:00.000","90","2340","0"
"411","9004732","2015-10-26T00:00:00.000","420","2340","0"
"412","9004732","2015-11-02T00:00:00.000","360","2340","0"
"414","9004340","2015-10-19T00:00:00.000","60","2340","0"
"415","9004340","2015-10-26T00:00:00.000","360","2340","0"
"418","9004242","2015-10-26T00:00:00.000","240","2340","0"
"203","9004744","2015-08-03T00:00:00.000","150","2340","1"
"420","9005716","2015-09-21T00:00:00.000","120","2340","0"
"421","9005716","2015-09-28T00:00:00.000","210","2340","0"
"422","9005716","2015-10-05T00:00:00.000","540","2340","0"
"423","9005716","2015-10-12T00:00:00.000","540","2340","0"
"424","9005716","2015-10-19T00:00:00.000","540","2340","0"
"425","9005716","2015-10-26T00:00:00.000","300","2340","0"
"426","9005716","2015-11-02T00:00:00.000","60","2340","0"
"427","9005716","2015-11-09T00:00:00.000","825","2340","0"
"202","9003712","2015-09-28T00:00:00.000","570","2340","1"
"428","9003712","2015-10-05T00:00:00.000","300","2340","0"
"429","9003712","2015-10-12T00:00:00.000","60","2340","0"
"430","9003712","2015-10-26T00:00:00.000","90","2340","0"
"431","9003681","2015-10-05T00:00:00.000","270","2340","0"
"432","9004483","2015-10-05T00:00:00.000","960","2340","0"
"433","9004483","2015-10-19T00:00:00.000","120","2340","0"
"434","9004483","2015-10-26T00:00:00.000","120","2340","0"
"435","9004594","2015-10-05T00:00:00.000","1140","2340","0"
"436","9005734","2015-10-05T00:00:00.000","210","2340","0"
"437","9005734","2015-10-19T00:00:00.000","270","2340","0"
"438","9005734","2015-10-26T00:00:00.000","120","2340","0"
"439","9004312","2015-10-19T00:00:00.000","30","2340","0"
"440","9004312","2015-11-16T00:00:00.000","600","2340","0"
"441","9004671","2015-10-19T00:00:00.000","60","2340","0"
"442","9005168","2015-10-19T00:00:00.000","150","2340","0"
"443","9005168","2015-10-26T00:00:00.000","1560","2340","0"
"444","9005168","2015-11-02T00:00:00.000","150","2340","0"
"445","9005499","2015-10-19T00:00:00.000","120","2340","0"
"446","9005499","2015-10-26T00:00:00.000","480","2340","0"
"447","9005532","2015-10-19T00:00:00.000","180","2340","0"
"448","9005532","2015-10-26T00:00:00.000","270","2340","0"
"449","9005536","2015-10-19T00:00:00.000","120","2340","0"
"450","9005536","2015-10-26T00:00:00.000","360","2340","0"
"451","9005536","2015-11-02T00:00:00.000","105","2340","0"
"452","9005713","2015-10-19T00:00:00.000","270","2340","0"
"453","9004142","2015-11-02T00:00:00.000","360","2340","0"
"454","9004142","2015-11-09T00:00:00.000","180","2340","0"
"455","9004142","2015-11-16T00:00:00.000","150","2340","0"
"368","9004320","2015-10-26T00:00:00.000","120","2340","1"
"456","9004421","2015-10-26T00:00:00.000","480","2340","0"
"457","9004421","2015-11-02T00:00:00.000","750","2340","0"
"458","9004421","2015-11-16T00:00:00.000","90","2340","0"
"459","9004491","2015-10-26T00:00:00.000","180","2340","0"
"460","9004491","2015-11-09T00:00:00.000","660","2340","0"
"461","9004542","2015-10-26T00:00:00.000","240","2340","0"
"462","9004630","2015-11-02T00:00:00.000","360","2340","0"
"463","9004630","2015-11-09T00:00:00.000","330","2340","0"
"464","9004630","2015-11-16T00:00:00.000","300","2340","0"
"465","9004645","2015-10-26T00:00:00.000","180","2340","0"
"466","9004645","2015-11-09T00:00:00.000","660","2340","0"
"467","9005170","2015-10-26T00:00:00.000","90","2340","0"
"468","9005170","2015-11-02T00:00:00.000","180","2340","0"
"469","9005170","2015-11-16T00:00:00.000","1020","2340","0"
"470","9005321","2015-10-26T00:00:00.000","60","2340","0"
"471","9005341","2015-10-19T00:00:00.000","0","2340","0"
"472","9005341","2015-10-26T00:00:00.000","660","2340","0"
"302","9004002","2015-06-01T00:00:00.000","1050","2340","1"
"274","9003386","2015-09-07T00:00:00.000","1455","2340","0"
"275","9003386","2015-09-14T00:00:00.000","240","2340","0"
"278","9004143","2015-09-07T00:00:00.000","240","2340","0"
"279","9004143","2015-09-14T00:00:00.000","300","2340","0"
"282","9004145","2015-09-07T00:00:00.000","240","2340","0"
"285","9004340","2015-09-07T00:00:00.000","300","2340","0"
"286","9004340","2015-09-14T00:00:00.000","300","2340","0"
"289","9004447","2015-09-07T00:00:00.000","1290","2340","0"
"290","9004447","2015-09-14T00:00:00.000","810","2340","0"
"294","9005096","2015-09-07T00:00:00.000","240","2340","0"
"297","9002418","2015-09-14T00:00:00.000","180","2340","0"
"298","9002418","2015-09-21T00:00:00.000","750","2340","0"
"300","9004481","2015-09-14T00:00:00.000","630","2340","0"
"303","9004317","2015-06-01T00:00:00.000","1455","2340","0"
"304","9004317","2015-06-08T00:00:00.000","255","2340","0"
"310","9004557","2015-08-10T00:00:00.000","195","2340","0"
