"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence"
"122","9003151","1","2014-06-02T00:00:00.000","2014-06-02T07:30:00.000","2014-06-02T15:30:00.000","NULL","NULL","NULL","NULL","124","123","0","1"
"123","9003151","1","2014-06-02T00:00:00.000","2014-06-03T07:30:00.000","2014-06-03T15:30:00.000","NULL","NULL","NULL","NULL","126","125","0","1"
"124","9003151","1","2014-06-02T00:00:00.000","2014-06-04T14:00:00.000","2014-06-04T15:30:00.000","NULL","NULL","NULL","NULL","128","127","0","2"
"125","9005088","2","2014-06-02T00:00:00.000","2014-06-02T16:00:00.000","2014-06-02T22:00:00.000","NULL","NULL","NULL","false","130","129","0","NULL"
"126","9005088","2","2014-06-02T00:00:00.000","2014-06-03T16:00:00.000","2014-06-03T21:00:00.000","NULL","NULL","NULL","true","132","131","0","NULL"
"127","9003742","1","2014-06-09T00:00:00.000","2014-06-09T07:30:00.000","2014-06-09T15:30:00.000","NULL","NULL","NULL","NULL","134","133","0","3"
"128","9003742","1","2014-06-09T00:00:00.000","2014-06-10T07:30:00.000","2014-06-10T15:30:00.000","NULL","NULL","NULL","NULL","136","135","0","3"
"129","9003742","1","2014-06-09T00:00:00.000","2014-06-11T07:30:00.000","2014-06-11T15:30:00.000","NULL","NULL","NULL","NULL","138","137","0","3"
"130","9003986","3","2014-06-02T00:00:00.000","2014-06-02T00:00:00.000","NULL","1","NULL","11","NULL","139","NULL","0","NULL"
"131","9003986","3","2014-06-02T00:00:00.000","2014-06-03T00:00:00.000","NULL","1","NULL","45","NULL","140","NULL","0","NULL"
"132","9003986","1","2014-06-02T00:00:00.000","2014-06-04T07:00:00.000","2014-06-04T17:00:00.000","NULL","NULL","NULL","NULL","141","NULL","0","1"
"133","9003986","1","2014-06-02T00:00:00.000","2014-06-05T12:00:00.000","2014-06-05T17:00:00.000","NULL","NULL","NULL","NULL","142","NULL","0","1"
"134","9003986","3","2014-06-02T00:00:00.000","2014-06-03T00:00:00.000","NULL","1","NULL","11","NULL","143","NULL","0","NULL"
"135","9003986","3","2014-06-02T00:00:00.000","2014-06-04T00:00:00.000","NULL","1","NULL","11","NULL","144","NULL","0","NULL"
"136","9003986","3","2014-06-02T00:00:00.000","2014-06-05T00:00:00.000","NULL","1","NULL","11","NULL","145","NULL","0","NULL"
"137","9003986","3","2014-06-02T00:00:00.000","2014-06-06T00:00:00.000","NULL","1","NULL","11","NULL","146","NULL","0","NULL"
